model,epoch,train_loss,dev_loss,runtime_min,global_step,best_dev_so_far
attention,1,3.9000584903648257,3.1491970817248025,8.35245867172877,1331,3.1491970817248025
attention,2,2.960021134339984,2.8451688090960183,16.70693406263987,2662,2.8451688090960183
attention,3,2.68248192122966,2.7336593866348267,25.063641202449798,3993,2.7336593866348267
attention,4,2.5193369956414204,2.682040015856425,33.389287714163466,5324,2.682040015856425
attention,5,2.4060801995776813,2.656302571296692,41.7421222726504,6655,2.656302571296692
attention,6,2.3205048455769277,2.6428392132123313,50.0714501341184,7986,2.6428392132123313
attention,7,2.2527513240711032,2.6411400039990744,58.3984851638476,9317,2.6411400039990744
attention,8,2.1962326941500923,2.6454278429349265,66.74146798451741,10648,2.6411400039990744
attention,9,2.147935967710482,2.648459176222483,75.07310239076614,11979,2.6411400039990744
attention,10,2.1059674183109665,2.6634055376052856,83.37597039143245,13310,2.6411400039990744
attention,11,2.0695338012758366,2.668949862321218,91.68796342213949,14641,2.6411400039990744
attention,12,2.0366188530452622,2.678626835346222,99.99129347801208,15972,2.6411400039990744
attention,13,2.0068513193495914,2.690074940522512,108.34593201478323,17303,2.6411400039990744
attention,14,1.9802716201987147,2.704930285612742,116.68975716431936,18634,2.6411400039990744
attention,15,1.9553636718208318,2.7174445192019143,125.00349932909012,19965,2.6411400039990744
attention,16,1.9330703225196706,2.732793112595876,133.32552735408146,21296,2.6411400039990744
attention,17,1.9125847964247396,2.743731458981832,141.6518666068713,22627,2.6411400039990744
attention,18,1.893369172140676,2.7577497363090515,149.97339090506236,23958,2.6411400039990744
attention,19,1.8750947358284025,2.772783080736796,158.33373465140662,25289,2.6411400039990744
attention,20,1.8586784045916585,2.782596468925476,166.68256619771321,26620,2.6411400039990744
